MUNIC_RES;name_muni;n_casos
231140;Quixeramobim;375
230850;Mombaça;319
231050;Pedra Branca;205
230730;Juazeiro do Norte;165
230690;Jaguaribe;159
230540;Icó;150
230440;Fortaleza;125
230760;Limoeiro do Norte;89
230350;Cascavel;73
231160;Redenção;71
230725;Jijoca de Jericoacoara;69
230340;Carnaubal;61
230530;Ibiapina;55
231130;Quixadá;54
230330;Cariús;50
231370;Umari;44
230195;Barreira;43
231290;Sobral;34
230400;Coreaú;33
231360;Ubajara;28
231230;São Benedito;19
230430;Farias Brito;17
231170;Reriutaba;15
230930;Nova Russas;13
230960;Pacajus;13
230015;Acarape;12
230240;Boa Viagem;12
230640;Itapipoca;12
231025;Paraipaba;12
230010;Abaiara;11
230110;Aracati;11
230590;Ipueiras;11
230765;Maracanaú;10
230950;Orós;10
231085;Pindoretama;10
231180;Russas;10
230250;Brejo Santo;9
230970;Pacatuba;9
230040;Aiuaba;8
230410;Crateús;8
230460;General Sampaio;8
230523;Horizonte;8
230185;Banabuiú;7
230370;Caucaia;7
230395;Chorozinho;7
230750;Lavras da Mangabeira;7
231220;Santa QuitÃ©ria;7
231400;Várzea Alegre;7
230220;Beberibe;6
230445;Fortim;6
230465;Graça;6
230560;Independência;6
230900;Mucambo;6
231240;São Gonçalo do Amarante;6
230310;Cariré;5
230420;Crato;5
230526;Ibaretama;5
230835;Milhã;5
230910;Mulungu;5
230940;Novo Oriente;5
230945;Ocara;5
231150;Quixeré;5
231250;São João do Jaguaribe;5
231395;Varjota;5
230030;Acopiara;4
230125;Ararendá;4
230190;Barbalha;4
230230;Bela Cruz;4
230428;Eusébio;4
230770;Maranguape;4
230830;Milagres;4
230870;Morada Nova;4
231310;Tabuleiro do Norte;4
231340;Tianguá;4
231350;Trairi;4
230100;Aquiraz;3
230280;Canindé;3
230300;Caridade;3
230380;Cedro;3
230393;Choró;3
230425;Cruz;3
230470;Granja;3
230565;Ipaporanga;3
230620;Itaiçaba;3
230630;Itapajé;3
230700;Jaguaruana;3
231270;Senador Pompeu;3
231330;Tauá;3
230050;Alcântaras;2
230080;Antonina do Norte;2
230120;Aracoiaba;2
230210;Baturité;2
230260;Camocim;2
230270;Campos Sales;2
230320;Caririaçu;2
230360;Catarina;2
230423;Croatá;2
230495;Guaiúba;2
230500;Guaraciaba do Norte;2
230520;Hidrolândia;2
230550;Iguatu;2
230600;Iracema;2
230670;Jaguaretama;2
230837;Miraí­ma;2
230860;Monsenhor Tabosa;2
230890;Morrinhos;2
230980;Pacoti;2
231030;Parambu;2
231090;Piquet Carneiro;2
231100;Poranga;2
231123;Potiretama;2
231190;Saboeiro;2
231260;São Luís do Curu;2
231300;Solonópole;2
231335;Tejuçuoca;2
231380;Uruburetama;2
231410;Viçosa do Ceará;2
230020;Acaraú;1
230060;Altaneira;1
230090;Apuiarés;1
230150;Arneiroz;1
230180;Baixio;1
230290;Capistrano;1
230365;Catunda;1
230427;Ereré;1
230533;Ibicuitinga;1
230535;Icapuã;1
230570;Ipaumirim;1
230625;Itaitinga;1
230660;Itatira;1
230710;Jardim;1
230740;Jucás;1
230763;Madalena;1
230800;Massapê;1
230810;Mauriti;1
230820;Meruoca;1
230840;Missão Velha;1
230990;Pacujá;1
231010;Palmácia;1
231020;Paracuru;1
231060;Penaforte;1
231070;Pentecoste;1
231280;Senador Sá;1
231390;Uruoca;1
261400;NA;1
330455;NA;1
351880;NA;1
355030;NA;1
