MUNIC_RES;name_muni;n_casos
230850;Mombaça;415
231050;Pedra Branca;232
230690;Jaguaribe;154
231140;Quixeramobim;110
230440;Fortaleza;84
231370;Umari;66
231130;Quixadá;62
231160;Redenção;43
230195;Barreira;37
231230;SÃ£o Benedito;36
231025;Paraipaba;34
231360;Ubajara;27
230240;Boa Viagem;26
230730;Juazeiro do Norte;26
231290;Sobral;25
230330;Cariús;24
230640;Itapipoca;23
231030;Parambu;22
230430;Farias Brito;16
230560;Independência;16
231170;Reriutaba;16
230040;Aiuaba;14
230765;Maracanaú;13
230590;Ipueiras;11
230830;Milagres;11
230530;Ibiapina;10
230350;Cascavel;9
230190;Barbalha;8
230370;Caucaia;8
230400;CoreaÃº;8
230445;Fortim;8
231340;Tianguá;8
230410;Crateús;7
230725;Jijoca de Jericoacoara;7
231400;Várzea Alegre;7
230427;Ereré;6
230550;Iguatu;6
230760;Limoeiro do Norte;6
231320;Tamboril;6
231330;Tauá;6
230250;Brejo Santo;5
230960;Pacajus;5
231180;Russas;5
230010;Abaiara;4
230100;Aquiraz;4
230460;General Sampaio;4
230770;Maranguape;4
230930;Nova Russas;4
230950;Orós;4
231220;Santa Quitéria;4
230120;Aracoiaba;3
230170;Aurora;3
230185;Banabuiú;3
230395;Chorozinho;3
230420;Crato;3
230465;Graça;3
230470;Granja;3
230495;Guaiúba;3
230526;Ibaretama;3
230580;Ipu;3
230945;Ocara;3
231085;Pindoretama;3
231310;Tabuleiro do Norte;3
231335;Tejuçuoca;3
230125;Ararendá;2
230210;Baturité;2
230320;Caririaçu;2
230360;Catarina;2
230428;Eusébio;2
230500;Guaraciaba do Norte;2
230520;Hidrolândia;2
230540;Icó;2
230565;Ipaporanga;2
230625;Itaitinga;2
230650;Itapiúna;2
230670;Jaguaretama;2
230740;Jucás;2
230910;Mulungu;2
231150;Quixeré;2
231240;São Gonçalo do Amarante;2
231300;Solonópole;2
231390;Uruoca;2
230015;Acarape;1
230070;Alto Santo;1
230110;Aracati;1
230140;Aratuba;1
230220;Beberibe;1
230230;Bela Cruz;1
230290;Capistrano;1
230310;Carirí;1
230340;Carnaubal;1
230435;Forquilha;1
230480;Granjeiro;1
230510;Guaramiranga;1
230523;Horizonte;1
230533;Ibicuitinga;1
230570;Ipaumirim;1
230600;Iracema;1
230630;Itapajé;1
230700;Jaguaruana;1
230710;Jardim;1
230763;Madalena;1
230780;Marco;1
230820;Meruoca;1
230860;Monsenhor Tabosa;1
230870;Morada Nova;1
230900;Mucambo;1
230970;Pacatuba;1
230980;Pacoti;1
231000;Palhano;1
231060;Penaforte;1
231090;Piquet Carneiro;1
231100;Poranga;1
231123;Potiretama;1
231126;Quiterianópolis;1
231135;Quixeló;1
231270;Senador Pompeu;1
231350;Trairi;1
260430;NA;1
293070;NA;1
352390;NA;1
355030;NA;1
